product_url,product_model,asset_id,kind,name,alt,caption,semantic_group,bg_removed,public_path,disk_path,source_url
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,asset-live-1,hero,Live product image (bg removed),OLED S90H 4K Samsung Vision AI Smart TV (2026) Front Graphite,OLED S90H 4K Samsung Vision AI Smart TV (2026) Front Graphite,product-product-1,true,/generated/removebg/qn77s90haexza/asset-1.png,public/generated/removebg/qn77s90haexza/asset-1.png,
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,asset-live-2,gallery,Live gallery image 2 (bg removed),OLED S90H 4K Samsung Vision AI Smart TV (2026) L-Perspective Graphite,OLED S90H 4K Samsung Vision AI Smart TV (2026) L-Perspective Graphite,product-gallery-2,true,/generated/removebg/qn77s90haexza/asset-2.png,public/generated/removebg/qn77s90haexza/asset-2.png,
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,asset-live-3,gallery,Live gallery image 3 (bg removed),OLED S90H 4K Samsung Vision AI Smart TV (2026) L-Side Graphite,OLED S90H 4K Samsung Vision AI Smart TV (2026) L-Side Graphite,product-gallery-3,true,/generated/removebg/qn77s90haexza/asset-3.png,public/generated/removebg/qn77s90haexza/asset-3.png,
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,asset-live-4,gallery,Live gallery image 4 (bg removed),A diagram of the connectivity ports on the Samsung  OLED S90H .,A diagram of the connectivity ports on the Samsung  OLED S90H .,product-gallery-4,true,/generated/removebg/qn77s90haexza/asset-4.png,public/generated/removebg/qn77s90haexza/asset-4.png,
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,section-processor,section,NQ4 AI Gen3 Processor visual tile,A close-up shot of a NQ4 AI Gen3 Processor on the mother board of a Samsung OLED S90H TV.,AI processor chip graphic,processor-chip,false,/generated/sections/qn77s90haexza/01-section-processor-01d0a901-visual.jpg,public/generated/sections/qn77s90haexza/01-section-processor-01d0a901-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s90haexza/gallery/us-oled-s90h-qn77s90haexza-551690107?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,section-hdr,section,OLED HDR+ visual tile,A with- and without- shot of the Samsung OLED S90H Smart TV&apos;s glare-free HDR functionality.,glare-free HDR comparison scene,glare-free-hdr,false,/generated/sections/qn77s90haexza/02-section-hdr-ec56f6af-visual.jpg,public/generated/sections/qn77s90haexza/02-section-hdr-ec56f6af-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s90haexza/gallery/us-oled-s90h-qn77s90haexza-553299658?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,section-motion,section,Motion Xcelerator 144Hz visual tile,"A with- and without- shot of how AI Motion Enhancer Pro technology on the Samsung OLED S90H Smart TV can be used to make crisp, more vivid sports action.",fast motion clarity visual,motion-clarity,false,/generated/sections/qn77s90haexza/03-section-motion-1b7db740-visual.jpg,public/generated/sections/qn77s90haexza/03-section-motion-1b7db740-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s90haexza/gallery/us-oled-s90h-qn77s90haexza-551690251?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,section-gaming,section,Ultimate Gaming Pack visual tile,A lifestyle shot of two gamers playing a collage of different video games using the Samsung OLED S90H.,gaming performance lifestyle scene,gaming-performance,false,/generated/sections/qn77s90haexza/04-section-gaming-78666dc7-visual.jpg,public/generated/sections/qn77s90haexza/04-section-gaming-78666dc7-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s90haexza/gallery/us-oled-s90h-qn77s90haexza-551690115?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,section-extra-1,section,77 Inch Class OLED S90H 4K Samsung Vision AI Smart TV (2026) Graphite visual tile,77 Inch Class OLED S90H 4K Samsung Vision AI Smart TV (2026) Graphite,77 Inch Class OLED S90H 4K Samsung Vision AI Smart TV (2026) Graphite,oled-picture-quality,false,/generated/sections/qn77s90haexza/05-section-extra-1-4ee7b054-visual.jpg,public/generated/sections/qn77s90haexza/05-section-extra-1-4ee7b054-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s90haexza/gallery/us-oled-s90h-qn77s90haexza-553148064?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s90h-sku-qn77s90haexza/,QN77S90HAEXZA,section-extra-2,section,AI upscaling lifestyle visual tile,"An image of a little girl kissing a dog in a grassy yard,  being used to represent the ability of the Samsung OLED S90H television to upscale standard-def content to 4K using AI.",AI upscaling lifestyle scene,ai-upscaling-lifestyle,false,/generated/sections/qn77s90haexza/06-section-extra-2-943975bc-visual.jpg,public/generated/sections/qn77s90haexza/06-section-extra-2-943975bc-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s90haexza/gallery/us-oled-s90h-qn77s90haexza-551724128?$product-details-jpg$
