product_url,product_model,asset_id,kind,name,alt,caption,semantic_group,bg_removed,public_path,disk_path,source_url
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,asset-live-1,hero,Live product image (bg removed),A front product view of the  OLED S95H .,A front product view of the  OLED S95H .,product-product-1,true,/generated/removebg/qn77s95hafxza/asset-1.png,public/generated/removebg/qn77s95hafxza/asset-1.png,
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,asset-live-2,gallery,Live gallery image 2 (bg removed),A side product view of the  OLED S95H .,A side product view of the  OLED S95H .,product-gallery-2,true,/generated/removebg/qn77s95hafxza/asset-2.png,public/generated/removebg/qn77s95hafxza/asset-2.png,
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,asset-live-3,gallery,Live gallery image 3 (bg removed),A diagram of the connectivity ports on the Samsung  OLED S95H .,A diagram of the connectivity ports on the Samsung  OLED S95H .,product-gallery-3,true,/generated/removebg/qn77s95hafxza/asset-3.png,public/generated/removebg/qn77s95hafxza/asset-3.png,
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,asset-live-4,gallery,Live gallery image 4 (bg removed),A diagram of the dimensions and specs of the  OLED S95H .,A diagram of the dimensions and specs of the  OLED S95H .,product-gallery-4,true,/generated/removebg/qn77s95hafxza/asset-4.png,public/generated/removebg/qn77s95hafxza/asset-4.png,
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,section-processor,section,NQ4 AI Gen3 Processor visual tile,A close-up shot of a NQ4 AI Gen3 Processor on the mother board of a Samsung OLED S95H TV.,AI processor chip graphic,processor-chip,false,/generated/sections/qn77s95hafxza/01-section-processor-99bfde01-visual.jpg,public/generated/sections/qn77s95hafxza/01-section-processor-99bfde01-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s95hafxza/gallery/us-oled-tv-qn77s95hafxza----inch-class-oled-s--h--k-samsung-vision-ai-smart-tv--------silver-551651947?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,section-hdr,section,OLED HDR+ visual tile,A with- and without- shot of the Samsung OLED S95H Smart TV&apos;s glare-free HDR functionality.,glare-free HDR comparison scene,glare-free-hdr,false,/generated/sections/qn77s95hafxza/02-section-hdr-d75ca577-visual.jpg,public/generated/sections/qn77s95hafxza/02-section-hdr-d75ca577-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s95hafxza/gallery/us-oled-tv-qn77s95hafxza----inch-class-oled-s--h--k-samsung-vision-ai-smart-tv--------silver-551651945?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,section-motion,section,Motion Xcelerator 144Hz visual tile,An illustration showing how Motion Xcelerator technology running on the Samsung OLED S95H TV delivers fast and responsive gaming performance in a racing game.,gaming performance lifestyle scene,gaming-performance,false,/generated/sections/qn77s95hafxza/03-section-motion-be8ba471-visual.jpg,public/generated/sections/qn77s95hafxza/03-section-motion-be8ba471-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s95hafxza/gallery/us-oled-tv-qn77s95hafxza----inch-class-oled-s--h--k-samsung-vision-ai-smart-tv--------silver-551651949?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,section-gaming,section,Ultimate Gaming Pack visual tile,"A screenshot showing the Samsung Gaming Hub interface, with icons for popular games such as Fortnite, Angry Birds and Exploding Kittens 2.",gaming performance lifestyle scene,gaming-performance,false,/generated/sections/qn77s95hafxza/04-section-gaming-1e58a621-visual.jpg,public/generated/sections/qn77s95hafxza/04-section-gaming-1e58a621-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s95hafxza/gallery/us-oled-tv-qn77s95hafxza----inch-class-oled-s--h--k-samsung-vision-ai-smart-tv--------silver-551651953?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,section-extra-1,section,An angle product view of the  OLED S95H. visual tile,An angle product view of the  OLED S95H.,An angle product view of the  OLED S95H.,oled-picture-quality,false,/generated/sections/qn77s95hafxza/05-section-extra-1-fdc07a66-visual.jpg,public/generated/sections/qn77s95hafxza/05-section-extra-1-fdc07a66-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s95hafxza/gallery/us-oled-tv-qn77s95hafxza----inch-class-oled-s--h--k-samsung-vision-ai-smart-tv--------silver-551651937?$product-details-jpg$
https://www.samsung.com/us/tvs/oled-tv/77-inch-oled-4k-tv-s95h-sku-qn77s95hafxza/,QN77S95HAFXZA,section-extra-2,section,77 Inch Class OLED S95H 4K Samsung Vision AI Smart TV (2026) Silver visual tile,77 Inch Class OLED S95H 4K Samsung Vision AI Smart TV (2026) Silver,77 Inch Class OLED S95H 4K Samsung Vision AI Smart TV (2026) Silver,oled-picture-quality,false,/generated/sections/qn77s95hafxza/06-section-extra-2-410f73db-visual.jpg,public/generated/sections/qn77s95hafxza/06-section-extra-2-410f73db-visual.jpg,https://images.samsung.com/is/image/samsung/p6pim/us/qn77s95hafxza/gallery/us-oled-s95h-qn77s95hafxza-553148087?$product-details-jpg$
